Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Sands Corydoras,/species-spotlight/sands-corydoras/,Corydorasdavidsandsi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.0,7.0,23.05,6.0,SA,-12.045619,2.5163956,-1.8131377
Scarlet Badis,/species-spotlight/scarlet-badis/,DarioDario,Actinopterygii,Perciformes,Badidae,Semi-Aggressive,Bottom - Middle,Carnivore,7.5,15.0,22.1,2.0,AS,5.9574747,-10.774658,1.6921188
Schistura Spilota,/species-spotlight/schistura-spilota/,Schisturaspilota,Actinopterygii,Cypriniformes,Nemacheilidae,Semi-Aggressive,Bottom,Omnivore,6.75,8.5,23.05,10.0,AS,4.8929563,-8.762286,2.709525
Schwartzs Corydoras,/species-spotlight/schwartzs-corydoras/,Corydorasschwartzi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,7.0,SA,-11.605936,-2.208426,0.6979579
Scissortail Rasbora,/species-spotlight/scissortail-rasbora/,Rasboratrilineata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,7.0,23.5,15.0,AS,-3.9568152,-0.75447863,-1.4925919
Serpae Tetra,/species-spotlight/serpae-tetra/,Hyphessobryconeques,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.4,15.0,24.15,4.5,SA,5.2753487,2.7244668,1.151213
Shadow Panda Shrimp,/species-spotlight/shadow-panda-shrimp/,"Caridinacantonensisvar""Panda""",Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.25,4.5,21.1,3.0,AS,-6.01094,9.381208,1.8857595
Siamese Algae Eater,/species-spotlight/siamese-algae-eater/,Crossocheilusoblongus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,7.25,12.5,25.0,16.0,AS,-4.726199,-2.984064,-0.40142792
Siamese Dwarf Rasbora,/species-spotlight/siamese-dwarf-rasbora/,Trigonostigmasomphongsi,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,6.0,23.5,2.5,AS,-8.362781,6.513873,-0.5182638
Siamese Fighting Fish,/species-spotlight/siamese-fighting-fish/,BettaSplendens,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Top,Omnivore,7.0,12.5,25.85,7.0,AS,6.992788,-8.538782,-1.9637796
Siamese Tigerfish,/species-spotlight/siamese-tigerfish/,Datnioidesmicrolepis,Actinopterygii,Perciformes,Datnioididae,Semi-Aggressive,All Levels,Carnivore,7.0,12.5,24.15,45.0,AS,1.9147505,-8.157725,1.0683255
Sidestripe Rasbora,/species-spotlight/sidestripe-rasbora/,Rasborapaviana,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,24.45,10.0,AS,-5.513556,1.3506498,-1.6389897
Silver Flying Fox,/species-spotlight/silver-flying-fox/,Crossocheilusreticulatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Herbivore,6.75,6.5,20.0,17.0,AS,-3.924282,-1.2821181,-2.1916702
Silvertip Tetra,/species-spotlight/silvertip-tetra/,Hasemanianana,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,24.75,5.0,SA,6.379077,2.1747994,1.0705334
Simons Rasbora,/species-spotlight/simons-rasbora/,Rasborasimonbirchi,Actinopterygii,Cypriniformes,Danionidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,24.45,10.0,AS,4.0966415,-10.084801,1.9366679
